600036 招商银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02	46.80	48.22	45.21	47.71	83614684	3925085952.00
2021/08/03	47.60	48.10	46.95	47.59	51875828	2456399104.00
2021/08/04	47.58	47.95	46.80	47.00	51149988	2410938880.00
2021/08/05	46.68	47.30	46.09	46.75	44230311	2070051584.00
2021/08/06	46.47	47.80	46.10	47.59	50755757	2392067840.00
2021/08/09	47.58	50.00	47.58	49.06	73043020	3599567104.00
2021/08/10	49.08	50.53	48.56	50.21	66357548	3291348992.00
2021/08/11	50.21	51.77	50.00	50.90	56855459	2905233152.00
2021/08/12	50.70	51.50	50.41	50.68	39718245	2021030400.00
2021/08/13	50.71	51.35	50.31	51.18	46740470	2379825408.00
2021/08/16	51.20	51.24	49.50	50.87	74413969	3770118144.00
2021/08/17	50.87	51.40	49.52	49.62	60323196	3044300800.00
2021/08/18	49.99	53.57	49.92	53.14	123124236	6434458624.00
2021/08/19	52.80	53.10	51.36	51.58	67630059	3515991296.00
2021/08/20	51.74	52.57	49.90	51.03	69376473	3537372160.00
2021/08/23	51.48	52.87	51.21	51.89	53901721	2806624256.00
2021/08/24	52.02	52.85	51.01	52.20	52827690	2748379136.00
2021/08/25	52.58	52.71	51.21	51.43	40738077	2107816704.00
2021/08/26	51.93	51.93	49.48	49.60	76303507	3825334016.00
2021/08/27	49.70	50.82	49.50	50.35	38614176	1942863616.00
2021/08/30	50.35	50.35	47.61	48.45	107968202	5224229888.00
2021/08/31	48.45	49.45	47.85	48.96	71044024	3451030016.00
2021/09/01	48.88	50.95	48.60	50.79	82605536	4129767680.00
2021/09/02	50.69	51.88	50.30	51.60	72620098	3729206272.00
2021/09/03	51.70	52.33	50.41	52.00	64257332	3321588992.00
2021/09/06	51.51	52.75	51.18	51.20	54742847	2830673152.00
2021/09/07	51.29	53.08	50.45	52.81	77232009	4026086400.00
2021/09/08	52.72	53.55	52.26	52.41	55390668	2921088000.00
2021/09/09	52.10	52.68	51.68	52.10	35780025	1863278592.00
2021/09/10	52.00	54.52	51.75	54.12	107097799	5766878208.00
2021/09/13	53.67	54.50	53.50	53.92	59283043	3202583552.00
2021/09/14	54.30	54.89	51.80	52.10	63116569	3336827136.00
2021/09/15	52.00	52.49	50.80	51.40	54233793	2799380224.00
2021/09/16	51.23	51.83	50.21	50.70	62989614	3193865216.00
2021/09/17	50.78	51.54	50.50	51.25	42016472	2143690240.00
2021/09/22	48.68	49.98	48.10	49.41	112259622	5492054016.00
2021/09/23	49.50	50.53	48.61	48.84	86102453	4246317056.00
2021/09/24	48.45	49.33	48.40	48.77	53203933	2596408320.00
2021/09/27	48.29	49.80	48.21	49.09	66790515	3265832192.00
2021/09/28	49.10	50.98	49.09	50.42	70992547	3562616320.00
2021/09/29	49.95	52.17	49.61	51.56	90460986	4619317248.00
2021/09/30	51.40	51.43	50.10	50.45	58611808	2960621568.00
2021/10/08	50.02	51.08	50.02	50.93	64555292	3266919168.00
2021/10/11	51.44	54.18	51.44	53.00	97177865	5171368960.00
2021/10/12	52.70	53.79	52.30	53.09	58937329	3129716224.00
2021/10/13	52.95	53.40	52.05	53.03	44255673	2335530496.00
2021/10/14	52.99	53.25	52.20	52.36	28899621	1518009856.00
2021/10/15	52.45	53.44	52.35	53.31	42035759	2230147840.00
